name,accent,style,abv,rating,style.rating,n.obs,month,year
Solstice d'Été à la Mangue ,1,Wheat,6,3.54,79,31,12,2011
Ciel Étoilé,1,Saison,5,3.37,90,30,5,2004
Rigor Mortis Abt (Brandy) ,0,Belgian,10.5,3.77,98,30,1,2016
Cousteau ,0,Ale,5.6,3.23,58,29,3,2011
Hélium ,1,Lager,5,3.25,96,29,6,2011
Blanche Van de Plateau,0,Wheat,4.8,3.44,97,28,7,2012
Lanterne Rouge,0,Ale,3.5,3.53,100,28,7,2014
Sainte Flanelle,0,IPA,8,3.69,85,28,2,2009
Matière Noire,1,Stout,9,3.82,83,27,1,2015
Première Neige ,1,Wheat,5,3.52,99,27,12,2002
Rigor Mortis de Table ,0,Belgian,4.2,3.25,81,27,10,2010
Umami ,0,Saison,5,3.37,90,27,5,2007
Bière du Mai ,1,Saison,5,3.41,94,26,5,2005
Blanche de Septembre ,0,Wheat,5,3.35,93,26,5,2002
Chez Suzanne,0,Stout,7,3.53,88,25,11,2014
Péché Houblon ,1,Stout,9.5,3.77,75,25,3,2018
Castelnau ,0,Ale,4,3.47,94,24,3,2014
Fun Fou!,0,IPA,6,3.35,48,24,3,2017
Imperial Cream Ale ,0,IPA,8,3.63,76,24,5,2007
Alban Elved,0,Ale,5,3.28,87,23,10,2009
Königsberg,1,Lager,5,3.24,95,23,5,2006
Péché Mortel Extra Café,1,Stout,9.5,3.78,75,23,10,2014
Malchance,0,Lager,4.5,3.07,70,22,12,2002
Saison de la Gare,0,Saison,6,3.32,48,22,5,2005
Solstice d'Été aux Prunes,1,Wheat,6.5,3.62,90,21,5,2012
